WELCOME;CHÀO MỪNG
SYNC;ĐỒNG BỘ
BOOKMARKS;TRANG ƯA THÍCH
HISTORY;LƯỢC SỬ
CLOSE;ĐÓNG
OPTIONS;TÙY CHỌN
TODAY;HÔM NAY
YESTERDAY;HÔM QUA
SEARCH;TÌM KIẾM
RELOAD;TẢI LẠI
FORWARD;TIẾN
MENU;TRÌNH ĐƠN
BACK;LÙI
SWITCH;CHUYỂN
SETTINGS;THIẾT LẬP
PRIVACY;RIÊNG TƯ
COOKIES;COOKIE
DISABLED;ĐÃ TẮT
PLUGINS;PHẦN BỔ TRỢ
ENABLED;ĐÃ BẬT
DISABLED;ĐÃ TẮT
SET;THIẾT LẬP
CACHE;BỘ NHỚ ĐỆM
SHOW;HIỆN
NEVER;KHÔNG BAO GIỜ
QUIT;THOÁT
TOOLS;CÔNG CỤ
PREVIOUS;TRƯỚC
PLAY;CHƠI
PAUSE;TẠM DỪNG
PASTE;DÁN
EDIT;SỬA
USERNAME;TÊN ĐĂNG NHẬP
NAME;TÊN
KEYWORD;TỪ KHÓA
OK;OK
YES;CÓ
NO;KHÔNG
COPY;CHÉP
CONTINUE;TIẾP TỤC
DONE;XONG
SEARCH;TÌM KIẾM
SYNC;ĐỒNG BỘ
TABS;THẺ
TAGS;NHÃN
&SYNCBRAND.SHORTNAME.LABEL;;&SYNCBRAND.SHORTNAME.LABEL;
CRASH;BÁO
TAB;MỞ
TAB;THẺ
TAB;MỚI
RESTORE;HỒI
RESTORE;PHỤC
THE;CỦA
VIA;QUA
THIS;NÀY
OF;CỦA
ADDRESS;ĐỊA
ADDRESS;CHỈ
BOOKMARKS;ĐÁNH
BOOKMARKS;DẤU
SEARCH;KIẾM
SEARCH;CỤ
SEARCH;TÌM
SHARE;SẺ
SHARE;CHIA
NEW;MỞ
NEW;THẺ
NEW;MỚI
DEBUGGING;QUA
DEBUGGING;GỠ
MASTER;MẬT
MASTER;KHẨU
MASTER;CHÍNH
PASSWORD;MẬT
PASSWORD;KHẨU
PASSWORD;CHÍNH
ADD;THÊM
BOOKMARK;ĐÁNH
BOOKMARK;TRANG
BOOKMARK;DẤU
MORE;THÊM
MORE;TÌM
DATA;DỮ
DATA;LIỆU
PRIVATE;TƯ
PRIVATE;RIÊNG
TO;SANG
DEVICE;BỊ
DEVICE;THIẾT
&BRANDSHORTNAME;;&BRANDSHORTNAME;
&BRANDSHORTNAME;;KHỞI
HISTORY;LƯỢC
HISTORY;XOÁ
HISTORY;SỬ
